Scenario	Replication	[WaitForTaskCTMachine].QueueLengthAverage
1	1	0.798085822478506
1	2	0.6600860235317448
1	3	0.7906724858002661
1	4	0.8412763982572724
1	5	0.7326885632903429
1	6	0.7654310197635563
1	7	0.8668482326884914
1	8	0.7315042142179223
1	9	0.7981848590542324
1	10	0.7215131688707022
1	11	0.6954628302843917
1	12	0.7736935232539667
1	13	0.8075506461822087
1	14	0.8465320561160711
1	15	0.8421446375876339
1	16	0.8326234827298294
1	17	0.831042914813162
1	18	0.6968711135912684
1	19	0.8457477552562825
1	20	0.7690265944775133
1	21	0.8732264452480171
1	22	0.8268256046858471
1	23	0.8889533496114417
1	24	0.7146828777777776
1	25	0.8603033000826706
1	26	0.8312613060730834
1	27	0.7783815477678584
1	28	0.79624223517857
1	29	0.7969601848842593
1	30	0.8418252455737425
1	31	0.8442001767261889
1	32	0.895432387703372
1	33	0.81649858157573
1	34	0.6615351897255302
1	35	0.8529903019179903
1	36	0.7921612302463623
1	37	0.8610703735962286
1	38	0.8757229452314816
1	39	0.8129953252777787
1	40	0.7751894384259239
1	41	0.8758015617708315
1	42	0.9525529022701718
1	43	0.7524465819295637
1	44	0.9622824043634247
1	45	0.8299751399371682
1	46	0.7961437417526437
1	47	0.756447038728503
1	48	0.8924455072486773
1	49	0.79982182547619
1	50	0.7511034145221555
1		0.8082492901510909
