adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
FALSE,/2vFuG6bWGyQUzYS9d69E5l85nIz.jpg,,667538,en,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",4090.661,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,2023-06-06,Transformers: Rise of the Beasts,FALSE,7.5,2065
FALSE,/8rpDcsfLJypbO6vREc0547VKqEv.jpg,,76600,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",596.15,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022-12-14,Avatar: The Way of Water,FALSE,7.7,9307
FALSE,/zxnfMi4qW0bdAtcwCogrR9dRrqd.jpg,,1103825,en,War of the Worlds: The Attack,Three young astronomers fight to survive a deadly Martian invasion.,495.656,/c3CUKHtQUvPvp9NSFsKwYsPLAdW.jpg,2023-04-21,War of the Worlds: The Attack,FALSE,6.5,33
FALSE,/eEF40Xk2twM3WjRNZftfo771gjv.jpg,,700391,en,65,"65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",187.856,/rzRb63TldOKdKydCvWJM8B6EkPM.jpg,2023-03-02,65,FALSE,6.2,1441
FALSE,/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,,19995,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",147.931,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,2009-12-15,Avatar,FALSE,7.6,29499
FALSE,/hYZhHMhQjITs9mziAH8gHsUA8Eb.jpg,,766507,en,Prey,"When danger threatens her camp, the fierce and highly skilled Comanche warrior Naru sets out to protect her people. But the prey she stalks turns out to be a highly evolved alien predator with a technically advanced arsenal.",160.143,/ujr5pztc1oitbe7ViMUOilFaJ7s.jpg,2022-08-02,Prey,FALSE,7.8,5661
FALSE,/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,,24428,en,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",117.609,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,2012-04-25,The Avengers,FALSE,7.7,28905
FALSE,/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,,299534,en,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",109.791,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,2019-04-24,Avengers: Endgame,FALSE,8.3,23545
FALSE,/x0GGS0r4ig4fMMehTRVPyXkxKTI.jpg,,565770,en,Blue Beetle,"Recent college grad Jaime Reyes returns home full of aspirations for his future, only to find that home is not quite as he left it. As he searches to find his purpose in the world, fate intervenes when Jaime unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab.",94.256,/vNfL4DYnonltukBrrgMmw94zMYL.jpg,2023-08-16,Blue Beetle,FALSE,0,0
FALSE,/wxr4Z6E83h14CogsZOzDm1vuDX3.jpg,,91314,en,Transformers: Age of Extinction,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",102.088,/jyzrfx2WaeY60kYZpPYepSjGz4S.jpg,2014-06-25,Transformers: Age of Extinction,FALSE,5.9,7479
FALSE,/sizHX5VbwlBihaathTQHVGk1jdi.jpg,,514207,ru,Вторжение,"Two years after the fall of the alien ship, the life of a young woman from Moscow has been changed forever. Her growing powers are now at the focus of both human and celestial investigation: an alien force takes an interest in her, and will stop short of nothing, including an invasion. Can love and compassion save humanity, when faced with a much greater and more demanding test this time?",93.881,/dqKqzcdhtJwOhjqe89RTURqILtl.jpg,2020-01-01,Invasion,FALSE,6.9,711
FALSE,/z2UtGA1WggESspi6KOXeo66lvLx.jpg,,520763,en,A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize that the creatures that hunt by sound are not the only threats that lurk beyond the sand path.",91.88,/4q2hz2m8hubgvijz8Ez0T2Os2Yv.jpg,2021-05-21,A Quiet Place Part II,FALSE,7.5,5544
FALSE,/etP5jwlwvkNhwe7jnI2AyA6ZKrR.jpg,,575322,en,Звёздный разум,"After depleting Earth's resources for centuries, humankind's survival requires an exodus to outer space. An international expedition is quickly formed to find a suitable new planet, but when plans go awry, the crew is suddenly stranded without power on a strange planet, where something unimaginable lies in wait.",90.798,/rFljUdOozFEv6HDHIFpFvcYW0ec.jpg,2022-01-06,Project Gemini,FALSE,5.8,347
FALSE,/c6H7Z4u73ir3cIoCteuhJh7UCAR.jpg,,524434,en,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",87.665,/lFByFSLV5WDJEv3KabbdAF959F2.jpg,2021-11-03,Eternals,FALSE,6.9,7319
FALSE,/baf8eep8af9y7ekjN9X1OW9y01V.jpg,,601796,ko,외계+인 1부,"Gurus in the late Goryeo dynasty try to obtain a fabled, holy sword, and humans in 2022 hunt down an alien prisoner that is locked in a human's body. The two parties cross paths when a time-traveling portal opens up.",83.676,/8QVDXDiOGHRcAD4oM6MXjE0osSj.jpg,2022-07-20,Alienoid,FALSE,7.3,150
FALSE,/69EFgWWPFWbRNHmQgYdSnyJ94Ge.jpg,,49521,en,Man of Steel,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",90.267,/dksTL9NXc3GqPBRHYHcy1aIwjS.jpg,2013-06-12,Man of Steel,FALSE,6.6,14160
FALSE,/8QpzqK3nPGxpqpKqhe6QasTGBWQ.jpg,,406759,en,Moonfall,A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,80.353,/odVv1sqVs0KxBXiA8bhIBlPgalx.jpg,2022-02-03,Moonfall,FALSE,6.4,2532
FALSE,/yizL4cEKsVvl17Wc1mGEIrQtM2F.jpg,,588228,en,The Tomorrow War,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",85.38,/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg,2021-09-03,The Tomorrow War,FALSE,7.6,2703
FALSE,/nW5fUbldp1DYf2uQ3zJTUdachOu.jpg,,718789,en,Lightyear,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,79.586,/ox4goZd956BxqJH6iLwhWPL9ct4.jpg,2022-06-15,Lightyear,FALSE,7.1,2950
FALSE,/kaIfm5ryEOwYg8mLbq8HkPuM1Fo.jpg,,284053,en,Thor: Ragnarok,"Thor is imprisoned on the other side of the universe and finds himself in a race against time to get back to Asgard to stop Ragnarok, the destruction of his home-world and the end of Asgardian civilization, at the hands of a powerful new threat, the ruthless Hela.",69.824,/rzRwTcFvttcN1ZpX2xv4j3tSdJu.jpg,2017-10-02,Thor: Ragnarok,FALSE,7.6,19334
FALSE,/VuukZLgaCrho2Ar8Scl9HtV3yD.jpg,,335983,en,Venom,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",72.569,/2uNW4WbgBXL25BAbXGLnLqX71Sw.jpg,2018-09-28,Venom,FALSE,6.8,14559
FALSE,/YL3GPOiDcNraIJOVDCZsoOBoDy.jpg,,106,en,Predator,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,69.915,/9XibNLfmUWCg0PPydmyoCl1KxvF.jpg,1987-06-12,Predator,FALSE,7.5,7108
FALSE,/5N8LOeRzt7LcZIhPbNVaCsVOPdT.jpg,,762504,en,Nope,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.",67.636,/AcKVlWaNVVVFQwro3nLXqPljcYA.jpg,2022-07-20,Nope,FALSE,6.9,3108
FALSE,/ig7qUy7drkEFZNCK7gi0hMn1WMN.jpg,,68726,en,Pacific Rim,"Using massive piloted robots to combat the alien threat, earth's survivors take the fight to the invading alien force lurking in the depths of the Pacific Ocean. Nearly defenseless in the face of the relentless enemy, the forces of mankind have no choice but to turn to two unlikely heroes who now stand as earth's final hope against the mounting apocalypse.",71.097,/8wo4eN8dWKaKlxhSvBz19uvj8gA.jpg,2013-07-11,Pacific Rim,FALSE,6.9,11436
FALSE,/zGHdS1eLaU5wdYCJ6vY9QfQGCTo.jpg,,346910,en,The Predator,"When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race.",60.486,/wMq9kQXTeQCHUZOG4fAe5cAxyUA.jpg,2018-09-05,The Predator,FALSE,5.6,4207
FALSE,/wgvc3PmjQGtYYDWaeuV867mnFDs.jpg,,18,en,The Fifth Element,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",67.728,/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,1997-05-02,The Fifth Element,FALSE,7.5,9803
